serialNum;Тип организации;Разряд;Название УГМС;StationName;Реперная/Вековая станция;Синоптический индекс станции;Общероссийский координатный номер метеорологического пункта;Общероссийский номер гидрологического пункта;Общероссийский номер агрометеорологического пункта;Широта;Долгота;Разность между поясным и московским временем;Территориальный код станции;Филиал(ЦГМС);Статус сетей: климатическая (метеорологическая);Признак проведения радиолокационных наблюдений;Признак проведения аэрологических наблюдений;Статус сетей: гидрологическая;Статус сетей: морская;Статус сетей: агрометеорологическая;Признак проведения специальных гидрометеорологических наблюдений;Признак проведения геофизических наблюдений;Признак проведения гелиофизических наблюдений;Признак проведения наблюдений за загрязнениями;Станция законсервирована (0 не законсервирована, 1 законсервирована);Дата закрытия
1900;Метеорологическая станция;2;ФГБУ Приволжское УГМС;СОЛЬ-ИЛЕЦК;0;35120;5115500;;35120;51.15;55.02;;156;Оренбургский ЦГМС;4;0;0;0;0;3;0;0;0;1;;9999-12-31 00:00:00
646;Гидрологический пост;2;ФГБУ Северное УГМС;СОЛЬВЫЧЕГОДСК - Р.BЫЧЕГДА;0;;6120046560;70203;;61.33;46.93;;129;Отсутствует;1;0;0;2;0;0;0;0;0;1;;9999-12-31 00:00:00
8443;Гидрологический пост;3;ФГБУ Северо-Западное УГМС;СОЛЬЦЫ - Р.ШЕЛОНЬ;0;72511;;72511;;58.10;30.32;;153;Новгородский ЦГМС;0;0;0;3;0;0;0;0;0;1;;
4947;Гидрологический пост;2;ФГБУ Иркутское УГМС;СОЛЯНАЯ - Р.БИРЮСА;0;08328;5532097490;08328;;55.53;97.81;;138;Отсутствует;1;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
4242;Объединенная гидрометеорологическая станция;0;ФГБУ Среднесибирское УГМС;СОЛЯНКА;1;29580;5629530;;;56.1667;95.2667;;124;Отсутствует;2;0;0;1;0;2;0;1;0;1;;9999-12-31 00:00:00
5184;Гидрологический пост;1;ФГБУ Якутское УГМС;СОЛЯНКА - Р.ЛЕНА;0;03036;6029120421;03036;;60.48;120.70;;114;Отсутствует;1;0;0;2;0;0;0;0;0;1;;9999-12-31 00:00:00
1523;Морская гидрометеорологическая береговая станция;2;ФГБУ Северное УГМС;СОПОЧНАЯ КАРГА - МОРЕ КАРСКОЕ, Р.ЕНИСЕЙ;0;20871;7198270;89045;;71.87528055555556;82.70555833333333;;124;Отсутствует;3;0;0;0;3;0;0;0;0;1;;9999-12-31 00:00:00
1793;Озерный гидрометеорологический пост;2;ФГБУ Верхне-Волжское УГМС;СОРМОВО - ВДХР.ЧЕБОКСАРСКОЕ;0;39902;;39902;;56.36;43.90;;152;Отсутствует;0;0;0;4;0;0;0;0;0;1;;9999-12-31 00:00:00
1901;Метеорологическая станция;2;ФГБУ Приволжское УГМС;СОРОЧИНСК;1;35011;5245310;;35011;52.43;53.13;;156;Оренбургский ЦГМС;2;0;0;0;0;3;0;0;0;1;;9999-12-31 00:00:00
2673;Озерный гидрометеорологический пост;2;ФГБУ Приволжское УГМС;СОРОЧИНСК (ВЕХНИЙ БЬЕФ) - ВДХР.СОРОЧИНСКОЕ;0;;;77901;;52.40;53.23;;156;Оренбургский ЦГМС;0;0;0;4;0;0;0;0;0;1;;9999-12-31 00:00:00
799;Метеорологическая станция;2;ФГБУ Северо-Западное УГМС;СОРТАВАЛА;1;22802;6173070;;22802;61.72;30.72;;110;Карельский ЦГМС;2;0;0;0;0;3;1;0;0;1;;
482;Морская гидрометеорологическая береговая станция;2;ФГБУ Северное УГМС;СОСНОВЕЦ ОСТРОВ - МОРЕ БЕЛОЕ;1;22355;6654070;87006;;66.48;40.68;;151;Отсутствует;2;0;0;0;2;0;0;0;0;1;;9999-12-31 00:00:00
3746;Метеорологическая станция;2;ФГБУ Среднесибирское УГМС;СОСНОВКА;3;36099;5129450;;;51.1500;94.5167;;117;Тувинский ЦГМС;2;0;0;1;0;2;1;0;0;1;;9999-12-31 00:00:00
5343;Агрометеорологическая станция;0;ФГБУ Камчатское УГМС;СОСНОВКА;1;32547;5315821;;;53.08;158.30;;190;Отсутствует;2;0;0;0;0;2;0;0;0;1;;9999-12-31 00:00:00
3671;Озерный гидрометеорологический пост;1;ФГБУ Западно-Сибирское УГМС;Сосновка - вдхр. Новосибирское;0;10948;5441082570;10948;;54.41;82.57;;154;Отсутствует;1;0;0;4;0;0;0;0;0;1;;
2036;Гидрологический пост;1;ФГБУ Приволжское УГМС;СОСНОВКА - Р.БОЛЬШАЯ УРТАЗЫМКА;0;;;19115;;52.20;58.72;;156;Оренбургский ЦГМС;0;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
